
TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getAllProjectsWithUniqueTestsAmount query:
Nexage | 105
Brand Alley | 14
Bercut | 37
Megafon | 32
Envisia | 12
Iota | 64

TestCase 	2020.10.22 16:19:41:	 sqlQueryTests.tests.GetChromeFirefoxTests
INFO	2020.10.22 16:19:41  sqlQueryTests.tests.GetChromeFirefoxTests:	Result of getMinTimeOfEveryTest query:
Bercut | KS-4322 Verify that Seller can be changed in impersonate drop-down | 465
Bercut | KS-4356 Verify that Connect Partners can be edited | 140
Bercut | KS-4389 Buyers Verify that Adnet can be created with required fields only general section is filled in | 97
Bercut | KS-4467 Connect partner: verify that created partner can be selected in the RTB Bidder Config | 197
Bercut | KS-4632 PSS verify that MM Exchange ad source can be updated with allow bidders and bidder groups by Seller admin | 941
Bercut | KS-4658 Settings Verify that Block Group can be created by Sellers admin | 941
Bercut | KS-4675 Settings Verify that Publisher Bidder Group can be edited by Seller admin and manager | 1946
Bercut | KS-4905 Impersonate PSS App Placement Overview toolbar is displayed correctly | 0
Bercut | KS-4930 Verify that ONE: Mobile Marketplace Ad Source can be edited | 0
Bercut | KS-4934 Verify that Geo Targeting can be edited from Block to Allow for MM Exchange Ad Source | 487
Bercut | KS-4939 Impersonate PSS New House Campaign verify that Name and Pricing section can be filled in | 345
Bercut | KS-5124 Impersonate PSS Verify that SAVE AND ADD PLACEMENT BUTTON saves the app site and forward user for placement creation | 178
Bercut | KS-5355 PSS Campaigns Targeting Custom Targeting verify that custom targeting group can be added | 0
Bercut | KS-5361 PSS Campaign Targeting verify that iOS specific devices can be saved | 138
Bercut | KS-5362 PSS Campaign Targeting verify that iOS specific versions can be saved | 515
Bercut | KS-5367 PSS Campaign Targeting verify that specific other operating systems can be saved | 251
Bercut | KS-5439 PSS Campaigns Targeting verify that campaign can be saved with Carriers only option and all carriers | 0
Bercut | KS-5444 PSS Campaigns Targeting Country Targeting verify that blocked countries can be selected | 374
Bercut | KS-5615 Verify that Banner placement can be added from Applications and Sites grid | 390
Bercut | KS-5759 Sellers: Position Setup: add In-stream Video position and check all correct data are shown in PSS, update in PSS and check in seller admin | 306
Bercut | KS-5806 Verify that columns can be hidden and unhidden in Nexage Finance Reports | 1896
Bercut | KS-5815 PSS Verify that Ad Size can be overriden at tag level Impersonate | 377
Bercut | KS-5987 users: verify Nexage User can impersonate as Seller User only | 449
Bercut | KS-6017 PSS Campaign Targeting verify that devices and versions from different OS can be saved | 335
Bercut | KS-6154 PSS Verify that its possible to set up Block bidders settings at RTB Default settings | 0
Bercut | KS-6279 Verify that Seller user can be deleted | 353
Bercut | KS-6998 PSS Verify that tag can be paused | 0
Megafon | KS-1806 Verify that RTB Bidder Configuration can be saved | 148
Megafon | KS-1820 Verify that Bidder Configuration can be saved | 115
Megafon | KS-1824 Verify that Traffic Filters can be saved | 718
